legislator,role,district,party,residence,gender,desk_number,profession,notes,session
"Hunt, John A.",,16,R,Douglas,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Ison, L. B.",,1,D,Baker,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Jameson, C. M.",,51,R,Union,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Jones, M. L.",,36,R,Marion,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Keady, W. P.",,4,R,Benton,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Kelly, P.",,43,R,Multnomah,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Kizer, F. M.",,28,D,Linn,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Long, John",,24,D,Lane,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Marquam, P. A.",,41,R,Multnomah,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Marston, H. L.",,57,R,Yamhill,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"McBride, George W.",Speaker,11,R,Columbia,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Morras, WIlliam",,12,R,Coos,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Moses, E. A.",,8,R,Clackamas,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Moss, S. P.",,22,D,Lake,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Nelson, J. C.",,59,D,Yamhill,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Nichols, B. F.",,53,R,Wasco,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Noyer, P. S.",,6,D,Clackamas,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Parker, Allen",,3,D,Benton,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Patterson, F. A.",,47,R,Polk,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Perkins, Lyman",,18,R,Grant,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Perkins, W. A.",,14,R,Douglas,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Plummer, O. P. S.",,39,R,Multnomah,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Rice, J. N.",,32,D,Linn,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Rigdon, W. T.",,37,R,Marion,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Robnett, J. A.",,29,D,Linn,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Sappington, John",,56,R,Washington,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Sharp, R. J.",,7,R,Clackamas,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Smith, Jasper",,10,R,"Clatsop, Tillamook",Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Sperry, J. H.",,49,D,Umatilla,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Stanley, A. C.",,19,D,Jackson,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Stanton, Benjamin",,50,R,Umatilla,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Steward, Frank A.",,13,R,"Coos, Curry",Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Tanner, A. H.",,42,R,Multnomah,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Thornton, Henry",,21,R,Josephine,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Truitt, Warren",,46,R,Polk,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Veatch, R. M.",,23,D,Lane,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Webb, H. P.",,15,R,Douglas,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Whitney, J. J.",,31,D,Linn,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
"Wilbur, A. C.",,9,R,Clackamas,Male,,,,"Session : 1882 Session - September 11-October 23, 1882 (59)"
Barnard T.,,15,D,Douglas,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Barrett, W. N.",,55,R,Washington,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Beebe, W. S.",,45,R,Multnomah,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Biles, J. D.",,42,R,Multnomah,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Bird, J. H.",,54,D,Wasco,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Blevans, J. J.",,51,D,Union,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Brockway, B. B.",,14,R,Douglas,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Caldwell, G. B.",,21,D,Josephine,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Chamberlain, George E.",,27,D,Linn,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Collard, Wm. M.",,35,R,Marion,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Craig, D. W.",,37,R,Marion,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Dawson, S. A.",,31,R,Linn,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Durham, D. O.",,60,R,Yamhill,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Ford, Tilmon",,38,R,Marion,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Galloway, William",,59,D,Yamhill,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Greer, T. T.",,36,R,Marion,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Harpole, J. W.",,26,R,Lane,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Hodgkins, Thomas",,11,D,Coos,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Kelly, P. J.",,43,D,Umatilla,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Kelly, Penumbra",,50,R,Multnomah,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Laughlin, Lee",,58,R,Yamhill,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Lawrence, A. J.",,1,D,Baker,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Meyer, F. A.",,44,R,Multnomah,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Minto, John, IV",,34,R,"Salem, Marion",Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Montgomery, L. D.",,16,R,Douglas,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Moody, Z. F.",Speaker,53,R,Wasco,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Morras, WIlliam",,12,R,Coos,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Newman, Jacob",,32,D,Linn,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Parker, Allen",,5,D,Benton,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Patterson, F. A.",,47,R,Polk,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Patterson, L.",,57,R,Washington,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Paul, William A.",,29,R,Linn,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Payne, Frank",,40,R,Multnomah,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Pipes, M. L.",,48,D,Polk,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Plummer, O. P. S.",,41,R,Multnomah,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Prosser, G. W.",,9,R,Clackamas,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Rinehart, L. B.",,2,D,Baker,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Savage, William",,46,D,Polk,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Schooling, J. P.",,28,D,Linn,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Scott, Raleigh",,13,R,"Coos, Curry",Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Sharp, R. J.",,8,R,Clackamas,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Shelton, Harvey",,30,D,Linn,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Smith, Henry",,33,R,Marion,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Smith, I. L.",,56,R,Washington,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Smith, Thomas",,19,D,Jackson,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Spencer, F. M.",,17,R,Douglas,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Stanley, A. C.",,20,R,Jackson,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Stearns, O. A.",,22,R,Lake,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Taylor, Frank J.",,10,R,"Clatsop, Tillamook",Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Thompson, J. M.",,23,D,Lane,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Tuttle, Terry",,52,Unknown,Union,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Wadsworth, F. M.",,4,D,Benton,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Waggoner, Geo. A.",,3,R,Benton,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Wallace, J. C.",,25,D,Lane,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Wilbur, A. C.",,6,R,Clackamas,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Will, H.",,7,R,Clackamas,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Wilson, John Q.",,49,D,Umatilla,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Worcester, J. J.",,18,R,Grant,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Yates, Chris P.",,39,R,Multnomah,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Zumwalt, A. J.",,24,D,Lane,Male,,,,"Session : 1880 Session - September 13-October 23, 1880 (60)"
"Action, Joseph",,43,R,Multnomah,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Beckley, Henry",,16,D,Douglas,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Bennett, James",,40,R,Multnomah,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Bewley, J. C.",,57,R,Tillamook,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Bradley, Richard",,9,R,Clackamas,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Broback, Charles W.",,25,D,Lake,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Caldwell, G. B.",,18,D,Josephine,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Campbell, A. F.",,14,D,Douglas,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Carter, Talbot",,5,R,Benton,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Chandler, C. G.",,2,D,Baker,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Chenoweth, James",,13,D,Douglas,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Cole, Nelson",,12,R,Columbia,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Curtis, W. R.",,1,D,Baker,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Dorris, B. F.",,23,D,Lane,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Durham, D. O.",,59,R,Yamhill,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Everts, L.",,49,D,Umatilla,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Forbes, Edward",,7,R,Clackamas,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Fountain, Matthew",,19,I,Jackson,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Fretland, I.",,39,R,Multnomah,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Galloway, William",,58,D,Yamhill,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Gates, N. H.",,55,D,Wasco,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Gilbert, George",,21,D,Lane,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Grant, R. J.",,46,D,Polk,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Green, H.",,4,Unknown,Benton,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Hamilton, Joseph",,29,D,Linn,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Hansard, F. C.",,30,D,Linn,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Hendricks, M. B.",,60,D,Yamhill,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Hewitt, C. H.",,28,D,Linn,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Hughes, J. T.",,3,D,Benton,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Johnson, R. D.",,17,D,Grant,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Kahler, William",,20,I,Jackson,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Kelly, Penumbra",,41,R,Multnomah,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Lee, J. D.",,47,R,Polk,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Matthieu, F. X.",,32,D,Marion,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Newman, Jacob",,31,D,Linn,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Purdin, Ira E.",,52,D,Washington,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Ramsby, R. C.",,35,R,Marion,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Reed, C. A.",,33,R,Marion,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Reeves, William",,54,D,Washington,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Riley, M.",,11,R,"Coos, Curry",Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Rinehart, J. H.",,51,D,Union,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Schelberg, A.",,34,R,Marion,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Schooling, J. P.",,27,D,Linn,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Schroeder, J. H.",,10,D,Coos,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Scott, L. S.",,37,R,Marion,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Smith, F. R.",,36,R,Marion,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Starkweather, W. A.",,8,R,Clackamas,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Stearns, L. B.",,38,R,Multnomah,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Stewart, John",,15,D,Douglas,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Stratton, J. F.",,24,R,Lane,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Thompson, D. P.",,44,R,Multnomah,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Thompson, John M.",Speaker,22,D,Lane,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Townsend, Ira S.",,45,D,Polk,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Tyson, R. H.",,53,R,Washington,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Webdell, A. B.",,56,D,Wasco,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Wheeler, Jason",,26,D,Linn,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"White, John S.",,48,D,Umatilla,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Will, Henry",,6,R,Clackamas,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Wintzengerode, C. V.",,42,R,Multnomah,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Wright, Dumham",,50,D,Union,Male,,,,"Session : 1878 Session - September 9-October 18, 1878 (60)"
"Benjamin, W. F.",,14,R,Douglas,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Bensell, R. A.",,4,R,Benton,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Bond, Allen",,25,R,Lane,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Buckman, R. D.",,52,D,Union,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Burton, A. D.",,23,D,Lane,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Butler, D. W.",,54,D,Wasco,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Chambers, James",,5,D,Benton,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Cheeseman, D. W.",,32,D,Lake,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Cochran, H. W.",,8,R,Clackamas,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Cornell, William",,41,R,Multnomah,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Crain, Joseph",,19,D,Jackson,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Crooks, J. T.",,29,D,Linn,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Fanning, E. E.",,55,I,Washington,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Fenton, W. D.",,58,D,Yamhill,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Ferguson, J. L.",,59,D,Yamhill,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Fidler, W. W.",,21,D,Josephine,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Gault, Daniel M. C.",,56,R,"Cottage Grove, Washington",Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Gilbert, A. N.",,35,R,Marion,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Goodman, W. S.",,50,D,Umatilla,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Goodsell, D.",,44,R,Multnomah,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Gould, E. J.",,13,D,"Coos, Curry",Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Grimes, B. R.",,31,D,Linn,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Grubble, W. P. T.",,16,R,Douglas,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Haines, I. D.",,2,D,Baker,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Hayes, R. B.",,22,D,Lane,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Hayter, Thomas J.",,47,D,"Dallas, Polk",Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Henderson, J. J.",,60,D,Yamhill,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Holmes, B. Z.",,40,D,Multnomah,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Hughes, J. T.",,3,D,Benton,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Hundsaker, H. K.",,37,R,Marion,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Kirkpatrick, E. A.",,15,R,Douglas,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Lawrence, A. J.",,1,D,Baker,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Love, R. H.",,39,D,Multnomah,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"McBride, Thomas Allen",,11,R,Colombia,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"McCall, J. M.",,20,R,Jackson,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Melvin, M. M.",,17,R,Douglas,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Mitchell, M. W.",,51,D,Union,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Morrow, J. L.",,49,D,Umatilla,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Mosier, J. H.",,53,D,Wasco,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Payton, D.",,36,R,Marion,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Porter, T. L.",,27,D,Linn,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Porter, William",,38,R,Marion,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Read, J. M.",,6,D,Clackamas,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Roberts, J. B.",,45,R,Multnomah,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Rosa, R. H.",,12,D,Coos,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Scott, J. M.",,43,R,Multnomah,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Scott, Rodney",,24,R,Lane,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Smith, F. R.",,34,R,Marion,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Smith, Stephen",,33,R,Marion,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Staats, Stephen",,46,D,Polk,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Stanard, A. W.",,26,D,Linn,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
Straight,,7,D,Clackamas,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Stump, J. B.",,48,I,Polk,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Sumner, John",,30,D,Linn,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Tibbetts, Gideon",,42,R,Multnomah,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Tozier, C. T.",,57,R,Washington,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Weatherford, James Knox",Speaker,28,D,"Albany, Linn",Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Will, Henry",,9,R,Clackamas,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Wilson, R. W.",,10,D,Clatsop,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Winnegar, F.",,18,R,Grant,Male,,,,"Session : 1876 Session - September 11-October 20, 1876 (60)"
"Blake, H.",,13,R,"Coos, Curry",Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Bradshaw, E. C.",,56,D,Yamhill,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Brown, W. C.",,47,I,Polk,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Bruce, James",,3,I,Benton,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Butler, T. L.",,45,I,Polk,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Chambers, James",,5,R,Benton,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Chandler, C. G.",,1,D,Baker,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Cornell, William",,39,R,Multnomah,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Cranston, Warren",,35,R,Marion,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Crawford, G. F.",,31,D,Linn,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Curl, Bartlett",,18,I,Grant,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Darst, William",,36,R,Marion,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Deane, W. R.",,10,R,"Clatsop, Tillamook",Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Doak, A. J.",,25,D,Lane,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Drain, John C.",Speaker,15,I,Douglas,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Dufur, E. B.",,53,I,Wasco,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Dully, John P.",,12,R,Coos,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Fidler, WIlliam",,22,D,Josephine,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Galloway, William",,57,D,"McMinnville, Yamhill",Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Gearin, John M.",,43,I,Multnomah,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Gilbert, A. N.",,38,R,Marion,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Hayes, R. B.",,24,D,Lane,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Jackson, U.",,51,I,Umatilla,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Jewett, R. S.",,40,I,Multnomah,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Johnson, Jacob",,41,I,Multnomah,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Kelly, P.",,44,I,Multnomah,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Kelly, W. J.",,4,R,Benton,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Lame, Joseph",,31,I,Linn,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Laughlin, Lee",,55,I,Yamhill,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Ledgerwood, Thomas",,16,I,Douglas,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Lee, S. P.",,8,R,Clackamas,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Matlock, J. D.",,27,D,Lane,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Matthieu, F. X.",,37,D,Marion,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Mays, Robert",,54,I,Wasco,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"McClung, John",,23,R,Lane,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"McGugin, Henry",,9,D,Clackamas,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
